CountyFIPS,PhotoCounts,,CountyFIPS,Contributors
30005,197,,30005,42
22009,193,,22009,33
16013,1598,,16013,294
5031,320,,5031,57
22019,593,,22019,121
9013,1107,,9013,138
36005,6511,,36005,1193
36007,2760,,36007,192
30007,123,,30007,59
35009,216,,35009,41
34019,3116,,34019,317
46019,210,,46019,44
34037,2764,,34037,374
30013,725,,30013,179
40007,72,,40007,30
41011,4292,,41011,515
38023,74,,38023,19
22027,51,,22027,12
53013,387,,53013,74
38021,13,,38021,11
40011,130,,40011,24
49013,1682,,49013,268
16021,656,,16021,117
34023,4187,,34023,529
5035,300,,5035,81
35013,2148,,35013,476
38041,122,,38041,20
36019,1410,,36019,240
34029,8278,,34029,840
36029,6778,,36029,782
38043,579,,38043,21
46011,292,,46011,53
49015,5852,,49015,841
41021,259,,41021,89
41027,2634,,41027,648
41017,5102,,41017,925
40027,710,,40027,167
46021,7,,46021,5
49017,17880,,49017,2750
40019,175,,40019,48
40025,242,,40025,70
16019,1991,,16019,340
30029,5728,,30029,1129
36045,2071,,36045,448
30039,547,,30039,149
35021,53,,35021,18
5041,161,,5041,20
30037,52,,30037,14
35023,518,,35023,126
22031,102,,22031,21
35028,414,,35028,122
5039,42,,5039,6
36035,302,,36035,88
53073,7355,,53073,1193
22033,2089,,22033,326
5147,25,,5147,6
38035,752,,38035,123
40147,310,,40147,55
38055,297,,38055,47
38033,101,,38033,40
38031,279,,38031,9
36053,876,,36053,142
36047,18263,,36047,4222
5055,177,,5055,19
53029,3160,,53029,543
5045,250,,5045,55
46029,301,,46029,57
9015,805,,9015,136
46027,368,,46027,30
22113,152,,22113,52
5037,26,,5037,12
5051,788,,5051,179
5033,516,,5033,78
40153,281,,40153,38
49027,1200,,49027,237
46045,66,,46045,10
41033,920,,41033,269
41047,3285,,41047,675
5057,120,,5057,30
16025,419,,16025,60
16017,1380,,16017,308
46055,16,,46055,15
16011,681,,16011,93
46033,2767,,46033,586
5043,33,,5043,12
49033,538,,49033,169
22029,58,,22029,30
53041,2932,,53041,683
34011,1354,,34011,127
30065,41,,30065,15
22073,288,,22073,54
30043,505,,30043,146
30015,259,,30015,68
30071,147,,30071,37
30021,189,,30021,46
30081,750,,30081,185
30061,323,,30061,124
30019,41,,30019,14
22039,93,,22039,24
30059,123,,30059,52
34021,13150,,34021,534
22047,193,,22047,86
30009,1506,,30009,308
22069,211,,22069,54
16027,677,,16027,137
22051,1144,,22051,358
22063,201,,22063,47
35006,1255,,35006,311
35011,99,,35011,46
35029,501,,35029,112
35033,305,,35033,100
34041,2631,,34041,293
34039,4252,,34039,379
36037,334,,36037,76
36049,338,,36049,83
36033,2165,,36033,287
35015,1185,,35015,321
36057,448,,36057,75
38075,56,,38075,9
38103,293,,38103,14
38071,101,,38071,25
40031,1138,,40031,199
40035,114,,40035,43
40021,212,,40021,70
40013,212,,40013,33
38053,437,,38053,76
40039,242,,40039,86
40047,149,,40047,34
38057,93,,38057,36
40045,25,,40045,11
35045,2679,,35045,563
38045,36,,38045,18
40017,737,,40017,110
36071,4092,,36071,729
36123,372,,36123,90
40113,403,,40113,81
49031,303,,49031,73
49049,6310,,49049,1066
53045,1276,,53045,284
46057,61,,46057,14
46037,104,,46037,19
46047,600,,46047,93
49019,16465,,49019,2692
46015,230,,46015,88
53071,932,,53071,167
41055,460,,41055,140
40067,90,,40067,22
46061,34,,46061,7
53025,2699,,53025,568
40151,177,,40151,38
46081,1155,,46081,316
40139,118,,40139,35
40125,1343,,40125,57
40111,145,,40111,31
41049,252,,41049,69
53023,145,,53023,46
40061,54,,40061,22
40055,119,,40055,23
40063,25,,40063,7
46059,8,,46059,6
46095,29,,46095,18
46083,75,,46083,25
49011,2260,,49011,580
5077,113,,5077,14
16029,561,,16029,87
16071,262,,16071,82
16035,2382,,16035,75
5069,142,,5069,26
16063,308,,16063,41
16039,1113,,16039,191
5059,105,,5059,27
5063,151,,5063,33
22053,57,,22053,17
5047,625,,5047,75
22077,81,,22077,27
22091,16,,22091,3
16023,1184,,16023,248
22083,12,,22083,3
5073,11,,5073,5
22079,570,,22079,78
5061,44,,5061,14
35053,1554,,35053,372
30027,361,,30027,65
30077,378,,30077,115
30099,332,,30099,87
36063,7884,,36063,2082
36079,1239,,36079,266
30085,136,,30085,43
35047,701,,35047,210
30101,265,,30101,51
36041,1813,,36041,374
36017,2622,,36017,82
22117,86,,22117,19
22055,564,,22055,150
22111,90,,22111,14
38047,53,,38047,6
30103,15,,30103,6
35041,85,,35041,31
22109,487,,22109,109
36051,528,,36051,132
30067,1938,,30067,559
36097,1070,,36097,246
36095,538,,36095,106
38085,18,,38085,9
36083,868,,36083,208
36065,1416,,36065,232
36117,429,,36117,124
36103,10613,,36103,1626
38065,49,,38065,19
38091,64,,38091,12
38095,20,,38095,11
38073,83,,38073,17
36107,266,,36107,63
5145,163,,5145,49
30107,101,,30107,43
49051,1660,,49051,351
36023,522,,36023,82
5099,13,,5099,6
49047,2079,,49047,246
5093,171,,5093,37
5127,42,,5127,19
40107,57,,40107,22
41071,759,,41071,238
5133,30,,5133,16
38089,277,,38089,64
53039,1674,,53039,394
49039,1168,,49039,208
38101,340,,38101,64
40069,98,,40069,22
53043,499,,53043,138
46093,394,,46093,144
40087,67,,40087,27
40033,27,,40033,10
46049,8,,46049,4
49045,2567,,49045,607
5141,124,,5141,40
49037,17042,,49037,3020
53049,1675,,53049,405
46023,123,,46023,24
16041,195,,16041,55
16073,2176,,16073,217
22023,333,,22023,90
46077,127,,46077,21
22087,423,,22087,109
46121,35,,46121,9
16033,231,,16033,72
16037,4060,,16037,456
